,,,,,,,,
,,,,,,,,
,0 Hidden Layers,1 Hidden Layer,2 Hidden Layers,3 Hidden Layers,4 Hidden Layers,5 Hidden Layers,6 Hidden Layers,7 Hidden Layers
64,82.0046544352,83.9963197489,84.169508037,84.4617632733,84.5267088813,84.8622611896,0,0
128,83.4172214104,84.7215457055,85.0570980137,85.1382800238,85.1166314878,85.2411105699,85.0516858797,0
200,83.7094766466,84.6998971695,84.9272067976,85.2032256319,85.2248741679,0,0,0
256,83.9367862748,85.0570980137,85.2140498999,85.2465227039,85.2356984359,85.392650322,85.1328678898,85.3006440439
512,84.2669264491,85.2627591059,85.360177518,85.2735833739,85.316880446,85.1761649618,85.1978134979,85.1707528278
1024,84.7215457055,85.381826054,85.365589652,85.32229258,85.0246252097,85.1112193538,85.2573469719,85.1815770958
2048,85.0462737457,85.316880446,85.2627591059,85.1707528278,85.0516858797,85.1761649618,85.2302863019,85.0895708178
